         53762953 function calls (53439232 primitive calls) in 75.954 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      483    0.000    0.000    0.005    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:557(<genexpr>)
     3536    0.002    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:30(_maybe_view_as_subclass)
     7788    0.004    0.000    0.007    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:549(<genexpr>)
     3214    0.004    0.000    0.071    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:376(broadcast_to)
     2115    0.008    0.000    0.008    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:425(_broadcast_shape)
     2115    0.011    0.000    0.035    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:489(broadcast_arrays)
      748    0.002    0.000    0.003    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:148(_commonType)
      748    0.001    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:192(_assert_stacked_2d)
      748    0.001    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:198(_assert_stacked_square)
     1496    0.001    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:128(isComplexType)
      748    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:142(_realType)
      748    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:489(_unary_dispatcher)
      374    0.587    0.002    0.593    0.002 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:493(inv)
      374    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:123(_makearray)
      374    0.276    0.001    0.280    0.001 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:2317(det)
        2    0.047    0.024    0.055    0.027 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/pdstable/__init__.py:498(dicts_by_row)
        2    0.008    0.004    0.890    0.445 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/pdstable/__init__.py:115(__init__)
        2    0.000    0.000    0.869    0.435 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/pdstable/__init__.py:987(__init__)
